Código Interno,Regional,Escola,1º Simulado: Participação (%),1º Simulado: Nota,1º Teste de Redação: Participação (%),1º Teste de Redação: Nota,2º Teste de Redação: Participação (%),2º Teste de Redação: Nota,2º Simulado: Participação (%),2º Simulado: Nota,3º Teste de Redação: Participação (%),3º Teste de Redação: Nota,4º Teste de Redação: Participação (%),4º Teste de Redação: Nota,Objetivas - 1º Simulado: Participação (%),Objetivas - 1º Simulado: Acertos (%),Objetivas - 2º Simulado: Participação (%),Objetivas - 2º Simulado: Acertos (%)
25266,BAIXADAS LITORANEAS,CE ELISIARIO MATTA,"28,47%","159,48","0,68%",----,"45,96%","377,54","28,32%","152,66","32,77%","428,93","0,43%",----,"28,47%","22,62%","28,32%","19,51%"
25284,BAIXADAS LITORANEAS,CE EMBAIXADOR RAUL FERNANDES,"83,33%","372,80","70,00%","488,00","60,00%","435,56","70,00%","316,19","43,33%","443,08","63,33%","505,26","83,33%","29,07%","70,00%","21,71%"
25267,BAIXADAS LITORANEAS,CE EUCLYDES PAULO DA SILVA,"78,25%","221,14","90,58%","271,48","100,00%","236,09","100,00%","145,30","47,08%","430,90","0,65%","360,00","78,25%","17,34%","100,00%","11,08%"
25285,BAIXADAS LITORANEAS,CE FERNANDO MAGALHAES,"77,67%","334,87","79,61%","480,51","61,17%","485,16","78,64%","306,50","86,41%","404,49","72,82%","422,40","77,67%","23,17%","78,64%","19,14%"
25268,BAIXADAS LITORANEAS,CE FRANCISCO JOSE DO NASCIMENTO,"84,81%","164,16","65,19%","370,51","59,26%","384,71","70,37%","383,30","56,30%","380,13","55,19%","418,63","84,81%","17,83%","70,37%","21,03%"
25286,BAIXADAS LITORANEAS,CE GUILHERME BRIGGS - BRASIL-ESPANHA,"98,44%","265,40","68,23%","472,08","53,42%","486,55","67,48%","374,80","47,01%","466,31","52,99%","507,98","98,44%","20,81%","67,48%","22,11%"
25287,BAIXADAS LITORANEAS,CE HILARIO RIBEIRO,"73,08%","202,15","60,00%","366,75","64,62%","414,29","59,23%","254,93","57,69%","347,73","52,31%","390,59","73,08%","21,54%","59,23%","18,68%"
25330,BAIXADAS LITORANEAS,CE ISMENIA DE BARROS BARROSO,"94,92%","253,05","56,35%","405,82","67,01%","382,15","64,47%","285,16","38,58%","434,59","35,03%","423,19","94,92%","16,86%","64,47%","20,12%"
25247,BAIXADAS LITORANEAS,CE JOAO DE OLIVEIRA BOTAS,"89,07%","149,48","54,64%","350,93","44,35%","427,10","56,10%","237,12","41,65%","401,13","32,88%","445,78","89,07%","11,57%","56,10%","18,90%"
25288,BAIXADAS LITORANEAS,CE JOAQUIM TAVORA,"95,10%","142,68","0,98%",----,"83,28%","206,25","47,60%","171,37","49,85%","384,84","45,20%","399,44","95,10%","16,16%","47,60%","17,25%"
25289,BAIXADAS LITORANEAS,CE JOSE BONIFACIO,"86,00%","288,37","76,00%","403,16","82,00%","394,15","82,00%","378,38","74,00%","453,33","76,00%","451,58","86,00%","20,92%","82,00%","20,14%"
25319,BAIXADAS LITORANEAS,CE JOSE MATOSO MAIA FORTE,"96,10%","178,38","98,70%","352,78","93,51%","364,44","100,00%","285,79","92,21%","259,10","79,22%","322,91","96,10%","22,52%","100,00%","16,67%"
25323,BAIXADAS LITORANEAS,CE JOSE RASCAO,"94,59%","221,66","66,88%","418,06","97,77%","133,69","87,58%","48,00","99,36%","111,90","0,00%",----,"94,59%","21,26%","87,58%","11,63%"
25290,BAIXADAS LITORANEAS,CE LEOPOLDO FROES,"61,98%","292,44","42,15%",----,"32,02%","397,89","57,14%","228,00","0,00%",----,"0,00%",----,"61,98%","22,81%","57,14%","16,81%"
25291,BAIXADAS LITORANEAS,CE MACHADO DE ASSIS,"59,73%","184,91","64,16%","303,10","55,60%","392,76","48,07%","280,96","53,28%","387,11","51,74%","362,63","59,73%","22,89%","48,07%","19,71%"
25292,BAIXADAS LITORANEAS,CE MANUEL DE ABREU,"78,53%","386,34","59,51%","465,98","60,12%","464,33","67,48%","405,48","23,01%","273,60","0,61%","520,00","78,53%","27,07%","67,48%","20,10%"
25293,BAIXADAS LITORANEAS,CE MARIA PEREIRA DAS NEVES,"63,33%","133,29","50,00%",----,"37,66%","336,56","31,34%","243,36","42,86%","240,00","38,96%","258,67","63,33%","20,69%","31,34%","18,61%"
25294,BAIXADAS LITORANEAS,CE MATEMATICO JOAQUIM GOMES DE SOUSA - INTER-CULTURAL BRASIL-CHINA,"100,00%","537,69","0,00%",----,"71,03%","531,05","77,57%","454,63","0,00%",----,"0,93%","560,00","100,00%","32,22%","77,57%","25,68%"
25295,BAIXADAS LITORANEAS,CE MENEZES VIEIRA,"92,31%","200,00","53,85%","434,29","69,23%","485,00",Não Participou,Não Encontrado,"0,00%",----,"0,00%",----,"92,31%","27,10%",Não Participou,"19,44%"
25251,BAIXADAS LITORANEAS,CE MIGUEL COUTO,"59,29%","262,03","47,79%","421,42","17,16%","390,47","50,37%","182,28","32,84%","410,38","24,86%","407,11","59,29%","22,88%","50,37%","18,85%"
25296,BAIXADAS LITORANEAS,CE MULLULO DA VEIGA,"72,32%","145,67","67,86%","294,73","35,10%","334,34","59,06%","142,52","0,00%",----,"52,32%","405,46","72,32%","18,61%","59,06%","16,97%"
25324,BAIXADAS LITORANEAS,CE NOBU YAMAGATA,"85,71%","312,45","61,61%","424,34","48,74%","460,19","65,22%","317,97","1,68%",----,"50,42%","378,67","85,71%","20,37%","65,22%","19,87%"
25331,BAIXADAS LITORANEAS,CE OLIVEIRA VIANA,"82,18%","290,76","82,55%","341,96","69,09%","423,66","69,82%","366,88","65,09%","413,41","64,73%","390,45","82,18%","20,96%","69,82%","20,57%"
25332,BAIXADAS LITORANEAS,CE OSCAR DE MACEDO SOARES,"79,94%","298,18","52,69%","401,15","71,26%","402,36","64,67%","325,86","64,97%","365,74","0,90%","453,33","79,94%","28,34%","64,67%","20,24%"
25297,BAIXADAS LITORANEAS,CE PAULO ASSIS RIBEIRO,"71,19%","155,70","58,28%","314,72","65,56%","251,81","50,00%","117,99","54,30%","189,68","50,00%","286,49","71,19%","22,72%","50,00%","19,82%"
25298,BAIXADAS LITORANEAS,CE PINTO LIMA,"90,00%","359,37","71,11%","368,25","66,67%","430,67","68,89%","448,00","55,56%","420,00","0,00%",----,"90,00%","26,27%","68,89%","21,62%"
25252,BAIXADAS LITORANEAS,CE PRAIA DO SIQUEIRA,"91,18%","368,60","67,65%","432,35","74,51%","468,27","60,78%","434,51","71,57%","436,11","0,98%","200,00","91,18%","26,23%","60,78%","19,88%"
25253,BAIXADAS LITORANEAS,CE PROFESSOR CORDELINO TEIXEIRA PAULO,"84,62%","86,67","69,23%","272,89","53,85%","374,86","58,46%","166,32","0,00%",----,"0,00%",----,"84,62%","23,24%","58,46%","18,92%"
25269,BAIXADAS LITORANEAS,CE PROFESSOR DARCY RIBEIRO,"17,07%","245,85","44,04%",----,"49,85%",----,"42,53%","116,07","44,34%","345,41","0,39%",----,"17,07%","23,96%","42,53%","17,77%"
25320,BAIXADAS LITORANEAS,CE PROFESSOR DYRCEU RODRIGUES DA COSTA,"81,41%","340,83","100,00%","368,95","77,56%","440,33","55,13%","360,00","80,13%","415,68","25,00%","310,77","81,41%","23,84%","55,13%","21,06%"
25240,BAIXADAS LITORANEAS,CE PROFESSOR FONSECA,"96,90%","136,77","67,44%","356,28","63,57%","357,00","76,74%","286,12","67,44%","443,76","65,12%","458,57","96,90%","19,97%","76,74%","19,87%"
25254,BAIXADAS LITORANEAS,CE PROFESSOR RENATO AZEVEDO,"64,62%","226,00","96,31%","163,16","46,55%","240,86","39,68%","247,63","54,17%","403,92","42,10%","486,55","64,62%","23,53%","39,68%","21,83%"
25299,BAIXADAS LITORANEAS,CE PROFESSORA ALCINA RODRIGUES DE LIMA,"65,04%","331,67","29,20%","443,03","51,33%","451,03","42,48%","389,59","54,42%","458,86","53,10%","443,33","65,04%","27,01%","42,48%","22,27%"
25270,BAIXADAS LITORANEAS,CE PROFESSORA CACILDA SILVA,"92,50%","384,86","76,25%","468,20","86,25%","475,36","81,25%","453,13","75,00%","477,33","83,75%","506,87","92,50%","27,11%","81,25%","22,12%"
25241,BAIXADAS LITORANEAS,CE PROFESSORA CLARICE COELHO MOREIRA CALDAS,"94,03%","227,93","65,30%","420,24","62,00%","456,55","83,39%","403,43","53,67%",----,"65,67%","501,14","94,03%","19,01%","83,39%","20,79%"
25300,BAIXADAS LITORANEAS,CE RAUL VIDAL,"90,42%","98,63","91,92%","203,47","44,47%","381,74","46,98%","169,34","41,65%","223,95","40,62%","266,83","90,42%","16,10%","46,98%","20,66%"
25333,BAIXADAS LITORANEAS,CE RIO DE AREIA,"74,47%","182,73","55,32%","454,23","42,81%","494,66","56,21%",----,"39,22%","445,34","60,13%","465,00","74,47%","22,74%","56,21%","20,03%"
25242,BAIXADAS LITORANEAS,CE SARGENTO PM ANTONIO CARLOS OLIVEIRA DE MOURA,"83,76%","468,98","96,58%","536,64","80,34%","541,08","69,23%","506,67","71,79%","507,14","76,92%","528,00","83,76%","31,64%","69,23%","22,83%"
25249,BAIXADAS LITORANEAS,CE VINTE DE JULHO,"98,73%","245,69","99,58%","347,53","86,02%","313,47","63,56%","350,21","67,37%","411,72","61,86%","368,28","98,73%","21,31%","63,56%","21,81%"
25301,BAIXADAS LITORANEAS,CE ZULEIKA RAPOSO VALLADARES,"87,10%","296,41","82,80%","462,11","75,27%","416,12","61,29%","339,20","65,59%","414,92","67,74%","408,52","87,10%","23,85%","61,29%","20,29%"
25326,BAIXADAS LITORANEAS,CIEP 146 PROFESSOR CORDELINO TEIXEIRA PAULO,"60,61%","222,20","48,48%","331,91","58,84%","340,00","62,37%","293,00","61,11%","397,83","60,61%","417,41","60,61%","22,39%","62,37%","21,22%"
25243,BAIXADAS LITORANEAS,CIEP 148 PROFESSOR CARLOS ELIO VOGAS DA SILVA,"86,89%","301,89","80,87%","441,36","83,61%","440,27","85,79%","441,87","80,87%","448,33","72,13%","438,47","86,89%","24,79%","85,79%","23,76%"
25255,BAIXADAS LITORANEAS,CIEP 193 WILSON MENDES,"69,09%","267,89","54,55%","406,67","54,05%","416,32","73,33%","344,16","39,19%",----,"0,00%",----,"69,09%","28,09%","73,33%","19,75%"
25303,BAIXADAS LITORANEAS,CIEP 251 DONA MARIA PORTUGAL - BRASIL-PARAGUAI,"86,67%","309,09","66,67%","408,00","60,00%","413,33","53,33%","370,00","73,33%","530,91","60,00%","506,67","86,67%","26,81%","53,33%","20,74%"
25244,BAIXADAS LITORANEAS,CIEP 253 GUIMARÃES ROSA,"98,78%","275,50","70,73%","409,82","100,00%","363,95","74,39%","301,69","1,22%","560,00","2,44%","340,00","98,78%","22,58%","74,39%","21,07%"
25334,BAIXADAS LITORANEAS,CIEP 258 ASTROGILDO PEREIRA,"70,27%","188,45","95,30%","231,79","40,66%","368,88","47,36%","191,50","0,24%","400,00","0,35%","346,67","70,27%","19,08%","47,36%","18,34%"
25271,BAIXADAS LITORANEAS,CIEP 259 PROFESSORA MARIA DO AMPARO RANGEL DE SOUZA,"80,36%","208,06","53,57%","345,85","57,16%","361,97","65,33%","236,88","59,80%","350,44","52,76%","380,39","80,36%","17,85%","65,33%","20,12%"
25327,BAIXADAS LITORANEAS,CIEP 262 CURVELINA DIAS CURVELLO,"70,77%",----,"41,03%","396,50","80,08%","270,53","50,85%","178,33","9,96%","216,92","0,77%",----,"70,77%","15,10%","50,85%","13,91%"
25328,BAIXADAS LITORANEAS,CIEP 272 GABRIEL JOAQUIM DOS SANTOS,"88,68%","110,64","98,11%","110,77","28,92%","273,33","60,87%","158,57","28,92%","198,33","25,30%","287,62","88,68%","14,37%","60,87%","18,19%"
25304,BAIXADAS LITORANEAS,CIEP 307 DJANIRA,"78,42%","328,07","71,22%","409,07","69,78%","460,21","76,26%","404,62","64,75%","472,00","67,63%","461,08","78,42%","25,60%","76,26%","21,37%"
25256,BAIXADAS LITORANEAS,CIEP 331 LYSIA BERNARDES,"74,75%","158,45","61,23%","354,01","60,77%","329,11","44,42%","221,21","57,83%","414,74","48,80%","424,63","74,75%","15,07%","44,42%","19,11%"
25257,BAIXADAS LITORANEAS,CIEP 357 JOSE DE DOME,"48,15%","163,63","64,81%","363,43","33,78%","408,72","46,67%","296,17","0,00%",----,"0,00%",----,"48,15%","20,17%","46,67%","18,94%"
25335,BAIXADAS LITORANEAS,CIEP 372 PAULO LEMINSKY,"0,00%",----,"64,79%","405,22","34,06%","363,41","78,13%","249,60","15,94%",----,"26,81%","352,38","0,00%","17,78%","78,13%","19,61%"
25245,BAIXADAS LITORANEAS,CIEP 384 GONCALVES DIAS,"73,74%","170,07","61,28%","358,24","52,01%","366,72","72,46%","240,34","58,82%","352,07","59,13%","382,28","73,74%","23,28%","72,46%","20,37%"
25272,BAIXADAS LITORANEAS,CIEP 391 PROFESSOR ROBSON MENDONCA LOU,"71,94%","133,50","0,00%",----,"23,73%",----,"59,43%",----,"1,13%",----,"1,13%",----,"71,94%","16,87%","59,43%","19,73%"
25305,BAIXADAS LITORANEAS,CIEP 448 RUY FRAZAO SOARES,"53,24%","190,89","46,76%","344,25","34,29%","418,00","66,37%","272,00","43,43%",----,"41,71%",----,"53,24%","22,85%","66,37%","20,48%"
25306,BAIXADAS LITORANEAS,CIEP 449 GOVERNADOR LEONEL DE MOURA BRIZOLA BRASIL FRANCA,"100,00%","489,41","86,03%","578,12","65,44%","583,82","67,65%","493,78","78,68%","465,79","75,00%","560,78","100,00%","31,14%","67,65%","21,79%"
25262,BAIXADAS LITORANEAS,CIEP 457 DOUTOR JOSÉ ELIAS MELLO DOS SANTOS,"81,63%","212,66","70,07%","376,74","52,19%","442,03","75,17%","346,32","51,02%","428,80","48,10%","438,12","81,63%","24,47%","75,17%","27,12%"
25258,BAIXADAS LITORANEAS,CIEP 458 HERMES BARCELOS,"77,66%","86,94","52,58%","313,50","44,82%","257,88","18,71%",----,"35,01%","217,28","33,89%","122,31","77,66%","14,59%","18,71%","19,51%"
25246,BAIXADAS LITORANEAS,CIEP 460 THIOPHYLA BRAGANCA,"75,21%","143,10","58,26%","335,86","41,18%",----,"53,85%","257,44","50,37%","360,30","36,40%","368,09","75,21%","22,04%","53,85%","19,91%"
25312,BAIXADAS LITORANEAS,IE PROFESSOR ISMAEL COUTINHO,"68,03%","423,49","70,49%","488,37","72,95%","528,09","83,61%","501,96","63,93%","449,74","37,70%","433,04","68,03%","26,77%","83,61%","21,43%"
25260,BAIXADAS LITORANEAS,IE PROFESSORA ISMAR GOMES DE AZEVEDO,"66,33%","345,03","70,41%","460,48","59,52%","520,23","58,50%","318,56","60,88%","511,51","60,88%","462,57","66,33%","24,58%","58,50%","20,28%"
25313,BAIXADAS LITORANEAS,LICEU NILO PECANHA,"95,19%","270,07","96,12%","270,85","49,56%","432,89","43,61%",----,"8,20%","254,20","0,71%",----,"95,19%","19,18%","43,61%","21,14%"
26131,CENTRO SUL,CE ALFREDO GOMES,"85,54%","332,96","84,34%","486,96","83,13%","550,14","81,93%","482,99","80,72%","580,00","80,72%","565,97","85,54%","26,62%","81,93%","22,72%"
26132,CENTRO SUL,CE ALMIRANTE RODRIGUES SILVA,"97,18%","430,00","92,96%","581,54","85,92%","602,67","94,37%","542,42","92,96%","605,54","90,14%","617,42","97,18%","30,23%","94,37%","24,77%"
26113,CENTRO SUL,CE ALVARO ALVIM,"100,00%","238,74","73,23%","461,93","73,57%","513,00","84,25%","372,90","67,86%","494,31","54,29%","532,63","100,00%","20,81%","84,25%","22,30%"
26143,CENTRO SUL,CE ANTÔNIO DE JESUS GOMES - BRASIL-MÉXICO,"97,87%","365,22","85,11%","452,31","85,11%","481,00","89,36%","428,57","93,62%","452,09","93,62%","472,73","97,87%","27,74%","89,36%","24,51%"
26133,CENTRO SUL,CE ARNOR SILVESTRE VIEIRA,"88,33%","436,23","81,67%","555,10","76,67%","654,78","78,33%","538,18","91,67%","642,91","73,33%","644,55","88,33%","33,30%","78,33%","22,70%"
26134,CENTRO SUL,CE BARAO DE JUPARANA,"84,62%","297,67","98,08%","378,40","50,00%","532,31","69,23%","449,03","51,92%","500,74","53,85%","535,71","84,62%","28,20%","69,23%","20,77%"
26121,CENTRO SUL,CE BARAO DE PALMEIRAS,"99,26%","311,34","82,22%","451,27","85,19%","507,13","84,44%","521,05","69,63%","546,96","72,59%","492,37","99,26%","24,24%","84,44%","22,78%"
26098,CENTRO SUL,CE BARAO DO RIO BONITO,"60,26%","293,62","69,87%","442,01","63,32%","464,17","58,52%","389,76","62,45%","475,52","62,45%","454,83","60,26%","26,54%","58,52%","24,85%"
26122,CENTRO SUL,CE BEZERRA DE MENEZES,"68,09%","312,50","70,92%","438,38","82,98%","522,78","79,43%","440,72","73,76%","442,38","71,63%","374,29","68,09%","26,46%","79,43%","23,51%"
26114,CENTRO SUL,CE CARMEM DE LUCA ANDREIOLO,"82,86%","307,59","82,86%","489,66","71,43%","435,00","82,86%","299,31","85,71%","541,33","85,71%","577,33","82,86%","23,51%","82,86%","19,47%"
26144,CENTRO SUL,CE CENTENARIO,"89,86%","297,05","72,46%","446,40","79,71%","489,45","79,71%","409,23","62,32%","425,12","65,22%","467,56","89,86%","25,95%","79,71%","21,95%"
26135,CENTRO SUL,CE CORONEL BENJAMIN GUIMARAES,"98,15%","268,35","100,00%","404,57","100,00%","413,02","100,00%","319,38","86,82%","581,43","76,74%","545,71","98,15%","23,86%","100,00%","19,36%"
26099,CENTRO SUL,CE DOUTOR ALVARO ROCHA,"86,21%","301,87","100,00%","364,82","77,01%","510,45","68,97%","446,32","83,91%","564,44","80,46%","584,57","86,21%","27,34%","68,97%","21,57%"
26115,CENTRO SUL,CE DOUTOR ANTONIO FERNANDES,"97,95%","243,08","68,49%","410,97","62,63%","464,38","46,67%","368,75","59,60%","458,05","48,99%","493,32","97,95%","20,20%","46,67%","20,62%"
26136,CENTRO SUL,CE DOUTOR GUILHERME MILWARD,"88,33%","170,57","65,00%","321,03","60,00%","403,43","68,33%","292,31","65,00%","346,67","60,00%","424,44","88,33%","18,23%","68,33%","25,77%"
26111,CENTRO SUL,CE DOUTOR JOAO NERY,"82,43%","241,96","72,97%","398,29","64,63%","402,23","85,92%","372,54","70,73%","429,66","68,29%","382,37","82,43%","27,17%","85,92%","21,47%"
26137,CENTRO SUL,CE DOUTOR OSWALDO TERRA,"94,23%","347,22","86,54%","482,25","88,00%","545,93","95,20%","528,55","82,40%","563,50","86,40%","530,00","94,23%","27,64%","95,20%","29,15%"
26126,CENTRO SUL,CE EDMUNDO PERALTA BERNARDES,"89,69%","396,15","98,45%","444,44","86,08%","532,85","82,99%","514,00","78,87%","550,53","68,56%","578,79","89,69%","28,14%","82,99%","24,98%"
26109,CENTRO SUL,CE JOAO KOPKE,"98,59%","352,57","99,30%","443,69","99,39%","481,46","99,39%","456,20","100,00%","523,93","100,00%","506,67","98,59%","30,61%","99,39%","31,02%"
26100,CENTRO SUL,CE JOAQUIM DE MACEDO,"71,19%","230,29","63,37%","372,55","56,09%","370,64","51,88%","289,14","46,49%","417,44","52,77%","411,39","71,19%","23,99%","51,88%","20,54%"
26138,CENTRO SUL,CE JOSE FONSECA,"76,27%","264,60","64,97%","412,52","41,59%","445,13","66,13%","340,36","48,60%","461,01","50,47%","508,56","76,27%","25,86%","66,13%","37,80%"
26123,CENTRO SUL,CE LIONS CLUBE DE PARAIBA DO SUL,"60,12%","154,57","67,26%","323,34","70,59%","384,85","60,80%","375,15","59,89%","445,36","65,78%","456,26","60,12%","16,44%","60,80%","21,72%"
26124,CENTRO SUL,CE MARIA ZULMIRA TORRES,"83,48%","280,21","72,17%","461,46","75,65%","529,94","80,43%","477,18","70,00%","527,55","58,26%","526,57","83,48%","25,53%","80,43%","21,96%"
26145,CENTRO SUL,CE MINISTRO RAUL FERNANDES,"75,81%","263,60","62,37%","362,07","57,27%","458,10","66,02%","365,06","51,36%","450,62","53,64%","480,00","75,81%","23,04%","66,02%","23,51%"
26125,CENTRO SUL,CE MONSENHOR FRANCISCO,"64,81%","114,67","75,93%","218,57","48,19%","428,95","72,18%","243,29","46,11%","422,85","36,27%","411,48","64,81%","11,50%","72,18%","23,24%"
26129,CENTRO SUL,CE NEPHTALINA CARVALHO AVILA,"100,00%","283,75","81,44%","436,46","78,35%","510,40","84,54%","472,20","80,41%","472,82","82,47%","536,53","100,00%","29,59%","84,54%","23,63%"
26101,CENTRO SUL,CE NILO PECANHA,"78,53%","276,23","72,32%","367,50","72,32%","487,81","55,37%","410,61","64,41%","443,89","69,49%","438,36","78,53%","24,01%","55,37%","20,66%"
26139,CENTRO SUL,CE PADRE SEBASTIAO DA SILVA PEREIRA,"99,46%","312,57","99,46%","417,65","76,09%","520,00","78,26%","483,64","84,24%","500,65","74,46%","519,71","99,46%","23,72%","78,26%","22,75%"
26118,CENTRO SUL,CE PRESIDENTE RODRIGUES ALVES,"98,49%","168,81","62,65%","389,84","66,18%","459,93","65,48%","388,13","61,22%",----,"64,14%","436,54","98,49%","17,09%","65,48%","20,43%"
26102,CENTRO SUL,CE PROFESSOR ADELINO TERRA,"80,00%","166,09","76,67%","304,00","60,00%","336,00","66,67%","237,00","76,67%","320,89","73,33%","358,18","80,00%","23,47%","66,67%","20,97%"
